"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Des'ree","Kaylee","F","1","Summers","246.30812","free","Phoenix-Mesa-Scottsdale, AZ","139","You Gotta Be","8"
"Mr Oizo","Kaylee","F","3","Summers","144.03873","free","Phoenix-Mesa-Scottsdale, AZ","139","Flat 55","8"
"Tamba Trio","Kaylee","F","4","Summers","177.18812","free","Phoenix-Mesa-Scottsdale, AZ","139","Quem Quiser Encontrar O Amor","8"
"The Mars Volta","Kaylee","F","5","Summers","380.42077","free","Phoenix-Mesa-Scottsdale, AZ","139","Eriatarka","8"
"Infected Mushroom","Kaylee","F","6","Summers","440.2673","free","Phoenix-Mesa-Scottsdale, AZ","139","Becoming Insane","8"
"Blue October / Imogen Heap","Kaylee","F","7","Summers","241.3971","free","Phoenix-Mesa-Scottsdale, AZ","139","Congratulations","8"
"Girl Talk","Kaylee","F","8","Summers","160.15628","free","Phoenix-Mesa-Scottsdale, AZ","139","Once again","8"
"Black Eyed Peas","Sylvie","F","0","Cruz","214.93506","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","9","Pump It","10"
"Fall Out Boy","Ryan","M","1","Smith","200.72444","free","San Jose-Sunnyvale-Santa Clara, CA","169","Nobody Puts Baby In The Corner","26"
"M.I.A.","Ryan","M","2","Smith","233.7171","free","San Jose-Sunnyvale-Santa Clara, CA","169","Mango Pickle Down River (With The Wilcannia Mob)","26"
"Survivor","Jayden","M","0","Fox","245.36771","free","New Orleans-Metairie, LA","100","Eye Of The Tiger","101"
"Gustavo Cerati","Adler","M","1","Barrera","249.44281","free","New York-Newark-Jersey City, NY-NJ-PA","248","Uno Entre 1000","100"
"Limp Bizkit","Adler","M","2","Barrera","270.49751","free","New York-Newark-Jersey City, NY-NJ-PA","248","Behind Blue Eyes","100"
"Mikel Erentxun","Samuel","M","1","Gonzalez","178.83383","free","Houston-The Woodlands-Sugar Land, TX","252","Frases Mudas","61"
"The Gerbils","Martin","M","0","Johnson","27.01016","free","Minneapolis-St. Paul-Bloomington, MN-WI","250","(iii)","55"
"AFI","Martin","M","1","Johnson","190.45832","free","Minneapolis-St. Paul-Bloomington, MN-WI","250","Girl's Not Grey","55"
"Lhasa De Sela","Jordan","F","1","Hicks","256.10404","free","Salinas, CA","240","De cara a la pared","37"
"J.J. Cale","Jordan","F","2","Hicks","150.80444","free","Salinas, CA","240","Crazy Mama","37"
"Brian Eno","Jordan","F","3","Hicks","265.82159","free","Salinas, CA","240","An Ending (Ascent) (2005 Digital Remaster)","37"
"Hot Hot Heat","Jordan","F","4","Hicks","190.01424","free","Salinas, CA","240","Soldier In A Box (Album Version)","37"
"ATB","Ryan","M","0","Smith","209.26649","free","San Jose-Sunnyvale-Santa Clara, CA","278","You're Not Alone","26"
"Mt. St. Helens Vietnam Band","Ryan","M","1","Smith","253.6224","free","San Jose-Sunnyvale-Santa Clara, CA","278","A Year Or Two","26"
"Becky","Ryan","M","2","Smith","245.62893","free","San Jose-Sunnyvale-Santa Clara, CA","278","Kimi e","26"
"Franz Ferdinand","Ryan","M","3","Smith","254.69342","free","San Jose-Sunnyvale-Santa Clara, CA","278","This Fire","26"
"Creedence Clearwater Revival","Ryan","M","4","Smith","230.94812","free","San Jose-Sunnyvale-Santa Clara, CA","278","It's Just A Thought","26"
"Paul Stanley","Tegan","F","1","Levine","187.32363","free","Portland-South Portland, ME","279","Live To Win","80"
"Benga","Kevin","M","0","Arellano","314.64444","free","Harrisburg-Carlisle, PA","191","Pleasure","66"
"Basshunter","Kevin","M","1","Arellano","190.17098","free","Harrisburg-Carlisle, PA","191","Why","66"
"Kings Of Leon","Kevin","M","2","Arellano","231.81016","free","Harrisburg-Carlisle, PA","191","Use Somebody","66"
"Slim Dusty","Austin","M","0","Rosales","198.922","free","New York-Newark-Jersey City, NY-NJ-PA","300","Long Black Road","12"
"Dido","Celeste","F","0","Williams","235.57179","free","Klamath Falls, OR","215","I'm No Angel","53"
"Lifehouse","Celeste","F","1","Williams","195.47383","free","Klamath Falls, OR","215","You And Me (Wedding Version)","53"
"Gary U.S. Bonds","Celeste","F","2","Williams","243.25179","free","Klamath Falls, OR","215","Angelyne","53"
"Throw Me The Statue","Celeste","F","3","Williams","189.85751","free","Klamath Falls, OR","215","Noises","53"
"Steely Dan","Mohammad","M","0","Rodriguez","457.89995","free","Sacramento--Roseville--Arden-Arcade, CA","206","Deacon Blues","88"
"Arctic Monkeys","Ava","F","1","Robinson","191.26812","free","New Haven-Milford, CT","211","Old Yellow Bricks","50"
"Sade","Ava","F","2","Robinson","271.96036","free","New Haven-Milford, CT","211","Hang On To Your Love","50"
"Florence + The Machine","Bronson","M","0","Harris","219.66322","free","Eugene, OR","251","Dog Days Are Over (Radio Edit)","33"
"Vinnie Vincent Invasion","Sienna","F","0","Colon","303.12444","free","Las Cruces, NM","291","Ashes To Ashes (2003 Digital Remaster)","81"
"Hellogoodbye;Elliott Yamin","Evelin","F","3","Ayala","218.38322","free","Milwaukee-Waukesha-West Allis, WI","33","Here (In Your Arms) (Radio Edit)","34"
"Kanye West","Evelin","F","4","Ayala","311.92771","free","Milwaukee-Waukesha-West Allis, WI","33","Stronger","34"
"Interpol","Evelin","F","5","Ayala","247.66649","free","Milwaukee-Waukesha-West Allis, WI","33","Narc","34"
"Eminem","Evelin","F","6","Ayala","284.18567","free","Milwaukee-Waukesha-West Allis, WI","33","The Real Slim Shady","34"
"Carla Bruni","Avery","F","2","Watkins","163.02975","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Quelqu'un M'a Dit (Album Version)","30"
"Toby Keith","Avery","F","3","Watkins","192.31302","paid","San Jose-Sunnyvale-Santa Clara, CA","130","You Ain't Leavin' (Thank God Are Ya)","30"
"Dim Chris_ Thomas Gold","Jizelle","F","0","Benjamin","504.60689","free","Plymouth, IN","126","Self Control (Laurent Wolf & Anton Wick)","2"
"Blue Rodeo","Avery","F","4","Watkins","310.9873","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Hasn't Hit Me Yet","30"
"Evanescence","Lily","F","1","Burns","237.11302","free","New York-Newark-Jersey City, NY-NJ-PA","305","Bring Me To Life","32"
"BeyoncÃÂ©","Avery","F","5","Watkins","190.06649","paid","San Jose-Sunnyvale-Santa Clara, CA","130","I'd Rather Go Blind","30"
"Lupe Fiasco","Jizelle","F","1","Benjamin","262.89587","free","Plymouth, IN","126","Hurt Me Soul (Explicit Album Version)","2"
"Deadmau5","Lily","F","2","Burns","296.64608","free","New York-Newark-Jersey City, NY-NJ-PA","305","Moar Ghosts 'n' Stuff","32"
"Daft Punk","Avery","F","6","Watkins","295.13098","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Face To Face / Short Circuit","30"
"Jay-Jay Johanson","Jizelle","F","2","Benjamin","381.43955","free","Plymouth, IN","126","Tell Me When The Party's Over/Prequiem","2"
